"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Amenities/0/Free Wi-Fi","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Parking/0/Free parking lot","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","emails/6","emails/7","emails/8","emails/9","emails/10","emails/11","emails/12","emails/13","emails/14","facebooks/0","facebooks/1","facebooks/2","facebooks/3","facebooks/4","facebooks/5","facebooks/6","facebooks/7","fid","floor","googleFoodUrl","hotelAds/0/googleUrl","hotelAds/0/isOfficialSite","hotelAds/0/price","hotelAds/0/title","hotelAds/0/url","hotelAds/1/googleUrl","hotelAds/1/isOfficialSite","hotelAds/1/price","hotelAds/1/title","hotelAds/1/url","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","phonesUncertain/13","phonesUncertain/14","phonesUncertain/15","phonesUncertain/16","phonesUncertain/17","phonesUncertain/18","phonesUncertain/19","phonesUncertain/20","phonesUncertain/21","phonesUncertain/22","phonesUncertain/23","phonesUncertain/24","phonesUncertain/25","phonesUncertain/26","phonesUncertain/27","phonesUncertain/28","phonesUncertain/29","phonesUncertain/30","phonesUncertain/31","phonesUncertain/32","phonesUncertain/33","phonesUncertain/34","phonesUncertain/35","phonesUncertain/36","phonesUncertain/37","phonesUncertain/38","phonesUncertain/39","phonesUncertain/40","phonesUncertain/41","phonesUncertain/42","phonesUncertain/43","phonesUncertain/44","phonesUncertain/45","phonesUncertain/46","phonesUncertain/47","phonesUncertain/48","phonesUncertain/49","pinterests/0","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3","youtubes/4"
,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,,"8489 40 St SE Unit 130, Calgary, AB T2C 2P1, Canada","Heating contractor","Commercial refrigerator supplier",,,,,,,,,"Heating contractor",,,"7379177152681966459","Calgary","false","CA",,,,,,,,,,,,,,,,,,,,,,,,,,,"0x53717b7ee371d745:0x66681a8618497b7b",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBVVr9CDbsafvNdSq7l3P_h7nI_8xxgcOSdX1vi9gKkhPxvD_wTQA-Wgzu1FAzPkkEiMg85tj-YVQJGK3v-G567AzVH0ppIzb5fq02UPqCOdLNC8-LTYbFF-lEZCv_LyQ4xazhZw=w408-h306-k-no","189",,,"false","/g/11s16q22lt","en",,,"50.9787992","-113.977705",,"South Foothills","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-437-4498","+14034374498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJRddx4357cVMRe3tJGIYaaGY",,"T2C 2P1",,"38",,,"20","20","0","0","0","0","2026-04-18T17:29:25.772Z",,,,,,"https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","8489 40 St SE Unit 130",,"false","Pro-West Refrigeration Ltd","5",,"https://www.google.com/maps/search/?api=1&query=Pro-West%20Refrigeration%20Ltd&query_place_id=ChIJRddx4357cVMRe3tJGIYaaGY",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10550 48 St SE, Calgary, AB T2C 2B8, Canada","HVAC contractor",,,,,,,,,,"HVAC contractor",,,"15029595954240613400","Calgary","true","CA","0",,"paragon.ca",,,,,,,,,,,,,,,,,,,,,,,,"0x537179e6ae777e4b:0xd093d9e3e228ec18",,,,,,,,,,,,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=092xfcLZa-ROtumRbSmmdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.84213&pitch=0&thumbfov=100","1",,,"false","/g/1tfnsp8g","en",,,"50.9597382","-113.9648021",,"East Shepard Industrial",,,,,,,,,,,,,,,"false","+1 403-250-8275","+14032508275",,,,,,,,,,,,"780-465-2931","780-466-4958","403-250-8275","403-250-8276","780-439-2179","780-469-4614","403-235-3860","587-387-2934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJS353ruZ5cVMRGOwo4uPZk9A",,"T2C 2B8",,"47",,,"2","2","0","0","0","0","2026-04-18T17:29:26.610Z","https://www.paragon.ca/","https://www.paragon.ca/contact-us","https://www.paragon.ca/about-us/history","https://www.paragon.ca/about-us/safety","https://www.paragon.ca/about-us/safety","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","10550 48 St SE",,"false","Paragon","5",,"https://www.google.com/maps/search/?api=1&query=Paragon&query_place_id=ChIJS353ruZ5cVMRGOwo4uPZk9A","http://www.paragon.ca/",,,,,,
"true",,,,,"true",,,,,,,,,,,"true",,,,"true",,,"true","true",,,,"true",,,,"true",,,,"3185 114 Ave SE, Calgary, AB T2Z 3X2, Canada","HVAC contractor","Plumber",,,,,,,,,"HVAC contractor",,,"17467137357010024019","Calgary","false","CA","0",,"canyonplumbing.com","jobs@canyonplumbing.com","hpratch@canyonplumbing.com","hvacservice@canyonplumbing.com","jsimpson@canyonplumbing.com","service@canyonplumbing.com","showroom@canyonplumbing.com",,,,,,,,,,"https://www.facebook.com/canyonpb",,,,,,,,"0x53717741ef39bcfb:0xf267bce19f89b653",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsUYMRJxh4cd7tzlyFwlCiOcxLNVwuozfjuf1N7gxsCdc-FSbUDFjD_NvObVdDGAjJlQS4FlG7zliuHHscAFjpmU-h1s1XoQRHmnXusynUDFvrDYteWdZhiu71QHkuCus9XU3e=w408-h408-k-no","161","https://instagram.com/canyonph",,"false","/g/1tlqpnvt","en",,,"50.949016","-113.99239",,"Shepard Industrial","Monday","7:30 AM to 4:30 PM","Tuesday","7:30 AM to 4:30 PM","Wednesday","7:30 AM to 4:30 PM","Thursday","7:30 AM to 4:30 PM","Friday","7:30 AM to 4:30 PM","Saturday","Closed","Sunday","Closed","false","+1 403-258-1505","+14032581505","+1(877)877-9957","+14032581505","403-200-9653","403-203-4852","403-203-4856","403-203-4866","403-203-4867","403-203-4878","403-203-4879","403-203-4880","403-203-4896","(403) 258 1505318","+1 (877) 877-9957","3185 114","403 258 1505","403-200-9653","403-203-4852","403-203-4856","403-203-4866","403-203-4867","403-203-4878","403-203-4879","403-203-4880","403-203-4896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ-7w570F3cVMRU7aJn-G8Z_I",,"T2Z 3X2",,"44",,,"487","398","29","47","8","5","2026-04-18T17:29:26.610Z","https://www.canyonplumbing.com/","https://www.canyonplumbing.com/careers","https://www.canyonplumbing.com/contact-us","https://www.canyonplumbing.com/our-team","https://www.canyonplumbing.com/about-us","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","3185 114 Ave SE",,"false","Canyon Plumbing & Heating Ltd","4.5",,"https://www.google.com/maps/search/?api=1&query=Canyon%20Plumbing%20%26%20Heating%20Ltd&query_place_id=ChIJ-7w570F3cVMRU7aJn-G8Z_I","http://www.canyonplumbing.com/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,"HVAC contractor","Air conditioning contractor","Service establishment","Heating contractor","Mechanical contractor","Repair service",,,,,"HVAC contractor",,,"7919613319166081477",,"false",,"0",,"climateprocalgary.ca","admin@climateprocalgary.ca",,,,,,,,,,,,,,,,,,,,,,,"0x605cdc01f13e8127:0x6de81e5a9758b9c5",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHd4YyBmzkLawDs6k0t7BPd-rbsgYucHlWvkS4uSpZ3W_CTsLG1wBHA1tDmzCPXQViHwpOFga59OODTT75MMCkCIWb_S9JKnLEjTpEDjzhpUgxjOIKL4OTLaCkLxVMlsOXwdkHANnTsTE0j=w408-h544-k-no","98",,,"false","/g/11l6bzmv_v","en",,,"51.0276233","-114.087835",,,"Monday","8 AM to 8 PM","Tuesday","8 AM to 8 PM","Wednesday","8 AM to 8 PM","Thursday","8 AM to 8 PM","Friday","8 AM to 8 PM","Saturday","Closed","Sunday","Closed","false","+1 587-892-0707","+15878920707",,,,,,,,,,,,"1 (587) 892-0707","012345678900123","4567890","456789001234567","89001234567890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJJ4E-8QHcXGARxblYl1oe6G0",,,,"43",,,"115","114","0","1","0","0","2026-04-18T17:29:26.609Z","http://climateprocalgary.ca/","http://climateprocalgary.ca/contact-us/","http://climateprocalgary.ca/about-us/","http://climateprocalgary.ca/contact-us/","http://climateprocalgary.ca/contact-us/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ",,,,"false","Climate Pro Heating and Cooling Inc.","5",,"https://www.google.com/maps/search/?api=1&query=Climate%20Pro%20Heating%20and%20Cooling%20Inc.&query_place_id=ChIJJ4E-8QHcXGARxblYl1oe6G0","http://www.climateprocalgary.ca/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,"true",,,,,,,,"false",,,,,,,,"5222 130 Ave SE #370, Calgary, AB T2Z 5C2, Canada","Air conditioning contractor","Plumber","Heating contractor","Mechanical contractor",,,,,,,"Air conditioning contractor",,,"10546560741804912965","Calgary","false","CA",,,,,,,,,,,,,,,,,,,,,,,,,,,"0x8fecfdeebe9b509f:0x925ce91dd95cb145",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHrvVWM8vwZT-k01ucf13irMtKzYH85kIwuMNBjOzFjeDrjtFhZSa8Q3mBZQIbTOhO873Wi_0p-4wBLnNf2F1Ot-j9zdattYqAaCXo2Q-fqawMtSxJDWYTNXVrioGzJ8SG91aUS=w408-h410-k-no","31",,,"false","/g/11tcvbyng6","en",,,"50.9322188","-113.9599033",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-305-5989","+14033055989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJn1Cbvu797I8RRbFc2R3pXJI",,"T2Z 5C2",,"48",,,"92","88","2","1","0","1","2026-04-18T17:29:26.610Z",,,,,,"https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","5222 130 Ave SE #370",,"false","Alberta Best Home Plumbing and Heating Ltd.","4.9",,"https://www.google.com/maps/search/?api=1&query=Alberta%20Best%20Home%20Plumbing%20and%20Heating%20Ltd.&query_place_id=ChIJn1Cbvu797I8RRbFc2R3pXJI","http://www.albertabesthome.framer.website/",,,,,,
,"true",,,,,,,,,,,,,,"true",,,"true","true",,,,,,,,,"true",,,,"true",,,,"4550 112 Ave SE Bay 30, Calgary, AB T2C 2K2, Canada","HVAC contractor","Air conditioning contractor","Air conditioning store","Air conditioning system supplier","Furnace repair service","Furnace store","Heating contractor","Refrigerator repair service","Sheet metal contractor","Ventilating equipment manufacturer","HVAC contractor",,,"8753464536866649973","Calgary","false","CA","0",,"jdcmechanical.ca",,,,,,,,,,,,,,,,,,,,,,,,"0x5371709353d2b493:0x797a8d9e51ea7775",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_I0q7gIVWqsDan4MYB2fOMppgWLIi36Y84ACYumBZtAaC1vU0x_jq18KkHPFjIO7dBTrjUPucuzNa2feqXTXo9L7B22oze6bMLSnVCWNzU98t8_qx-czxnZywhiK3VInFtIJzBAATbD4=w408-h408-k-no","4",,,"false","/g/11h9zml4ms","en","https://www.linkedin.com/company/jdc-mechanical-ltd",,"50.9521067","-113.9705489",,"East Shepard Industrial","Monday","8 AM to 4:30 PM","Tuesday","8 AM to 4:30 PM","Wednesday","8 AM to 4:30 PM","Thursday","8 AM to 4:30 PM","Friday","8 AM to 4:30 PM","Saturday","Closed","Sunday","Closed","false","+1 403-252-5202","+14032525202","4032525202","14032525202","14038629322",,,,,,,,,"(403) 252-5202","403-252-5202","2244355","(403) 862-9322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://pl.pinterest.com/jdcmechanical","ChIJk7TSU5NwcVMRdXfqUZ6Nenk",,"T2C 2K2",,"41",,,"7","7","0","0","0","0","2026-04-18T17:29:26.609Z","https://jdcmechanical.ca/","https://jdcmechanical.ca/about/","https://jdcmechanical.ca/blog/post-installation-ductwork-inspections-reconfiguration-and-repairs/","https://jdcmechanical.ca/services/commercial-sheet-metal-ductwork/","https://jdcmechanical.ca/contact/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","4550 112 Ave SE Bay 30",,"false","JDC Mechanical","5","https://x.com/JdcMechanical","https://www.google.com/maps/search/?api=1&query=JDC%20Mechanical&query_place_id=ChIJk7TSU5NwcVMRdXfqUZ6Nenk","https://jdcmechanical.ca/",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"true",,,,"11985 44 St SE, Calgary, AB T2Z 4G9, Canada","Air conditioning contractor","Air duct cleaning service","Air conditioning repair service","Furnace repair service","Heating contractor",,,,,,"Air conditioning contractor",,,"3022984565285858712","Calgary","false","CA","0",,"advanpro.ca",,,,,,,,,,,,,,,,"https://www.facebook.com/AdvanproFurnace",,,,,,,,"0x5371773261d0aaa7:0x29f3cc72175a2d98",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPPBflqdGUyAUwZN8V2hMVlAQwrSU7nRQfVZjvFj-ZbkKNlYEE_pr1Z5KpCZ8wP5L8ORT1Dd-v4E19MWrVvMOkC99Tgt85yOLCbKYH6URS4_T8tGfmJnDRvRYviWGydSxTyNHoow=w408-h544-k-no","60","https://www.instagram.com/advanpro.ca",,"false","/g/11jgt9wpt_","en","https://www.linkedin.com/company/advanpro-furnace-and-duct-cleaning-ltd",,"50.94386","-113.9725531",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-873-7779","+14038737779","4038737779",,,,,,,,,,,"+14038737779","50.943713","113.974800","5371777","2778176","0017-49657","403 873 7779","(403) 873-7779",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJp6rQYTJ3cVMRmC1aF3LM8yk",,"T2Z 4G9",,"37",,,"1050","954","26","57","6","7","2026-04-18T17:29:25.772Z","https://www.advanpro.ca/","https://www.advanpro.ca/contact-us/","https://www.advanpro.ca/about-us/","https://www.advanpro.ca/#","https://www.advanpro.ca/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","11985 44 St SE",,"false","Advanpro - Heating, Cooling, Furnace & Duct Cleaning","4.7",,"https://www.google.com/maps/search/?api=1&query=Advanpro%20-%20Heating%2C%20Cooling%2C%20Furnace%20%26%20Duct%20Cleaning&query_place_id=ChIJp6rQYTJ3cVMRmC1aF3LM8yk","https://www.advanpro.ca/",,,,,,
,,,,,,,,,,"true",,,"true",,"true",,,"true",,,,,,,,,,"true",,,,"true",,,,"12180 44 St SE #14, Calgary, AB T2Z 4A2, Canada","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Furnace repair service","Heating contractor","Heating equipment supplier","Plumber","Water filter supplier","Water softening equipment supplier",,"HVAC contractor",,,"10423390306328183141","Calgary","false","CA","0",,"promaxx.pro","office@furnacefellas.ca","kevin@promaxxmechanical.com",,,,,,,,,,,,,,"https://www.facebook.com/promaxxplumbingheating","https://www.facebook.com/furnacefellas",,,,,,,"0x537177c3ff3cf189:0x90a7524213f10165",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGURVGpon_6DUTLBN-iaovEBFnq1D--tGIxHOnM1zSEyU44_kS5RuJvlhlJCncmlqq67ODactfbjhOB_L8A_BNEPAJsCpKa-nni0Xlb7Cfl4QajN9svUkE6Yzpxa7YIHJpNZwU1nWlW1bI=w408-h408-k-no","8",,,"false","/g/11ks_f01b9","en",,,"50.9416915","-113.9708",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 587-847-5683","+15878475683","4034605846","5872001051",,,,,,,,,,"(403) 460 5846","403-460-5846","+1 (403) 460 5846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJifE8_8N3cVMRZQHxE0JSp5A",,"T2Z 4A2",,"34","https://www.google.com/maps/reserve/appt/place/ChIJifE8_8N3cVMRZQHxE0JSp5A/mid/%2Fg%2F11ks_f01b9?sourceurl=https://www.google.com/search?authuser%3D0%26tbm%3Dmap%26q%3Dhvac%2B%26psi%3Dcb_jafvlKuHCgALB_PUh.1776533364932.1%26hl%3Den%26pb%3D!4m12!1m3!1d40224.71222683976!2d-113.88334802444844!3d50.94138981351432!2m3!1f0!2f0!3f0!3m2!1i1920!2i1080!4f13.1!7i20!8i0!10b1!12m36!1m1!18b1!2m3!5m1!6e2!20e3!6m18!4b1!49b1!63m0!73m0!74i150000!75b1!85b1!89b1!91b1!101i97!110m0!114b1!149b1!171b1!176f8!179f90!182b1!183m0!10b1!12b1!13b1!14b1!16b1!17m1!3e1!20m3!5e2!6b1!14b1!19m4!2m3!1i360!2i120!4i8!20m57!2m2!1i203!2i100!3m2!2i4!5b1!6m6!1m2!1i86!2i86!1m2!1i408!2i240!7m42!1m3!1e1!2b0!3e3!1m3!1e2!2b1!3e2!1m3!1e2!2b0!3e3!1m3!1e8!2b0!3e3!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e9!2b1!3e2!1m3!1e10!2b0!3e3!1m3!1e10!2b1!3e2!1m3!1e10!2b0!3e4!2b1!4b1!9b0!22m6!1scb_jafvlKuHCgALB_PUh!2s1i:0,t:20588,p:cb_jafvlKuHCgALB_PUh:22!4m1!2i20588!7e81!12e3!24m92!1m26!13m9!2b1!3b1!4b1!6i1!8b1!9b1!14b1!20b1!25b1!18m15!3b1!4b1!5b1!6b1!13b1!14b1!15b1!17b1!21b1!22b0!25b1!27m1!1b0!28b0!31b0!2b1!5m5!2b1!5b1!6b1!7b1!10b1!10m1!8e3!11m1!3e1!14m1!3b1!17b1!20m2!1e3!1e6!24b1!25b1!26b1!29b1!30m1!2b1!36b1!39m3!2m2!2i1!3i1!43b1!52b1!55b1!56m2!1b1!3b1!65m5!3m4!1m3!1m2!1i224!2i298!71b1!72m17!1m5!1b1!2b1!3b1!5b1!7b1!4b1!8m8!1m6!4m1!1e1!4m1!1e3!4m1!1e4!3sother_user_reviews!9b1!89b1!103b1!113b1!117b1!122m1!1b1!26m4!2m3!1i80!2i92!4i8!30m28!1m6!1m2!1i0!2i0!2m2!1i0!2i0!1m6!1m2!1i0!2i0!2m2!1i0!2i0!1m6!1m2!1i0!2i0!2m2!1i0!2i0!1m6!1m2!1i0!2i0!2m2!1i0!2i0!31b1!34m19!2b1!3b1!4b1!6b1!7b1!8m6!1b1!3b1!4b1!5b1!6b1!7b1!9b1!12b1!14b1!20b1!23b1!25b1!26b1!37m1!1e81!42b1!46m1!1e10!47m0!49m7!3b1!6m2!1b1!2b1!7m2!1e3!2b1!50m25!1m21!2m7!1u3!4zT3RldsWZZW7DqQ!5e1!9s0ahUKEwim7OrA9veTAxX81vACHX5REvkQ_KkBCAgoAw!10m2!3m1!1e1!2m7!1u2!4zTmVqbMOpcGUgaG9kbm9jZW7DqQ!5e1!9s0ahUKEwim7OrA9veTAxX81vACHX5REvkQ_KkBCAcoAg!10m2!2m1!1e1!3m1!1u2!3m1!1u3!4BIAE!2e2!3m1!3b1!59BQ2dBd0Fn!61b1!67m3!7b1!10b1!14b0!69i675",,"153","143","6","4","0","0","2026-04-18T17:29:25.772Z","http://promaxx.pro/","https://promaxx.pro/commercialprojects/","https://promaxx.pro/promaxx-plumbing-heating-cooling/","https://promaxx.pro/residentialprojects/","https://promaxx.pro/industrialprojects/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","12180 44 St SE #14",,"false","ProMaxx Plumbing & Heating Ltd.","4.9",,"https://www.google.com/maps/search/?api=1&query=ProMaxx%20Plumbing%20%26%20Heating%20Ltd.&query_place_id=ChIJifE8_8N3cVMRZQHxE0JSp5A","https://www.promaxx.pro/",,,,,,
,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,"12180 44 St SE Bay 38, Calgary, AB T2Z 4A2, Canada","HVAC contractor","Air conditioning repair service","Furnace repair service","Heating contractor",,,,,,,"HVAC contractor",,,"8542516650540377889","Calgary","false","CA","0",,"generalplumbing.ca","info@generalplumbing.ca",,,,,,,,,,,,,,,"https://www.facebook.com/General-Plumbing-And-Heating-494499587290525",,,,,,,,"0x537179e3cbf61307:0x768d1da22b51a721",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHkexv_pdfjzcVOQEL9cVpZBrGDxVWspyWN4vbfzZkUvudb2EPI8HzcQo5mnmNW0D7udS3k_GNDpc1yktFM_XbJwZRo7KIU5CZlZ5CCCRLaTu6YueqX4EfP7cRdh2G61MMIWPoK=w408-h306-k-no","55",,,"false","/g/11cs47pr2c","en",,,"50.941691","-113.9707889",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-390-1115","+14033901115","4033901115","4033529872",,,,,,,,,,"(403) 390-1115","(403) 352-9872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJBxP2y-N5cVMRIadRK6IdjXY",,"T2Z 4A2",,"33",,,"521","495","13","8","3","2","2026-04-18T17:29:25.772Z","https://generalplumbing.ca/","https://generalplumbing.ca/boiler-hydronic-systems/","https://generalplumbing.ca/services/","https://generalplumbing.ca/","https://generalplumbing.ca/contact/","https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","12180 44 St SE Bay 38",,"false","Alberta General Plumbing","4.9","https://twitter.com/GeneralPlumbin1","https://www.google.com/maps/search/?api=1&query=Alberta%20General%20Plumbing&query_place_id=ChIJBxP2y-N5cVMRIadRK6IdjXY","https://generalplumbing.ca/",,,,,,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,"3953 112 Ave SE, Calgary, AB T2C 2Z6, Canada","HVAC contractor","Air conditioning contractor","Air conditioning repair service","Furnace repair service","Furnace store",,,,,,"HVAC contractor",,,"3556411697286839686","Calgary","true","CA",,,,,,,,,,,,,,,,,,,,,,,,,,,"0x5371708d076a740d:0x315ae99893d37d86",,,,,,,,,,,,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHOPWk1nKJd8jjObKyBUQVCRIEjWHFeP430J355NNa0AnMTpJ8Nlddf1sNvjUE-2aOydVfec_qU_O5TvEdiUxuh-9Sv1i9PVu0ddYQZ47Ko3GDG_AmxKwJV6JaU4d6K4Hu8rh2=w408-h544-k-no","3",,,"false","/g/1hc13s5dv","en",,,"50.9515409","-113.9802925",,"East Shepard Industrial","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 403-453-2112","+14034532112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJDXRqB41wcVMRhn3Tk5jpWjE",,"T2C 2Z6",,"28",,,"20","11","2","6","1","0","2026-04-18T17:29:25.772Z",,,,,,"https://www.google.com/maps/search/hvac%20/@50.94138981351432,-113.88334802444844,13z?hl=en","hvac ","Alberta","3953 112 Ave SE",,"false","Reliant Comfort Systems","3.6",,"https://www.google.com/maps/search/?api=1&query=Reliant%20Comfort%20Systems&query_place_id=ChIJDXRqB41wcVMRhn3Tk5jpWjE",,,,,,,
