"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Amenities/0/Gender-neutral restroom","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Payments/0/Credit cards","additionalInfo/Payments/0/NFC mobile payments","additionalInfo/Payments/1/Credit cards","additionalInfo/Payments/1/NFC mobile payments","additionalInfo/Payments/2/Credit cards","additionalInfo/Payments/2/NFC mobile payments","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","additionalOpeningHours/Access/0/day","additionalOpeningHours/Access/0/hours","additionalOpeningHours/Access/1/day","additionalOpeningHours/Access/1/hours","additionalOpeningHours/Access/2/day","additionalOpeningHours/Access/2/hours","additionalOpeningHours/Access/3/day","additionalOpeningHours/Access/3/hours","additionalOpeningHours/Access/4/day","additionalOpeningHours/Access/4/hours","additionalOpeningHours/Access/5/day","additionalOpeningHours/Access/5/hours","additionalOpeningHours/Access/6/day","additionalOpeningHours/Access/6/hours","additionalOpeningHours/Online service hours/0/day","additionalOpeningHours/Online service hours/0/hours","additionalOpeningHours/Online service hours/1/day","additionalOpeningHours/Online service hours/1/hours","additionalOpeningHours/Online service hours/2/day","additionalOpeningHours/Online service hours/2/hours","additionalOpeningHours/Online service hours/3/day","additionalOpeningHours/Online service hours/3/hours","additionalOpeningHours/Online service hours/4/day","additionalOpeningHours/Online service hours/4/hours","additionalOpeningHours/Online service hours/5/day","additionalOpeningHours/Online service hours/5/hours","additionalOpeningHours/Online service hours/6/day","additionalOpeningHours/Online service hours/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","emails/3","emails/4","emails/5","facebooks/0","facebooks/1","fid","floor","googleFoodUrl","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phones/5","phones/6","phones/7","phones/8","phones/9","phones/10","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","pinterests/0","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","tiktoks/0","tiktoks/1","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3"
,,,,,,,,,,,,,,,"true",,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10861 50 St SE, Calgary, AB T2C 3E5, Canada","Plumber",,,,,,,,,,"Plumber",,,"17014611197555247253","Calgary","true","CA",,,,,,,,,,,,"0x537179e7569b9c0d:0xec200abca5aa0895",,,,,"0",,,"false","/g/11b5wj3vrd","en",,,"50.9564328","-113.9623532",,"East Shepard Industrial",,,,,,,,,,,,,,,"false","+1 403-252-0375","+14032520375",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJDZybVud5cVMRlQiqpbwKIOw",,"T2C 3E5",,"53",,,"1","1","0","0","0","0","2026-04-18T17:36:27.719Z",,,,,,"https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","10861 50 St SE",,"false",,,"AAA-Assured Plumbing Ltd","5",,"https://www.google.com/maps/search/?api=1&query=AAA-Assured%20Plumbing%20Ltd&query_place_id=ChIJDZybVud5cVMRlQiqpbwKIOw",,,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"335 Hotchkiss Mnr SE, Calgary, AB T3S 0J9, Canada","Plumber",,,,,,,,,,"Plumber",,,"17906805580882932084","Calgary","false","CA",,,,,,,,,,,,"0x53717947436d3c67:0xf881c0cd2e827174",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFN4UnTNZXUTclYRQGF8A9c_nBsBJXUiG8TMLR3NwdD35EUMalxvl0bdO_hqEloAt3fDf_FICodLE_FnooV_yBNb91uuscy1Izl5Z6wCwgR_It5B0m23b9t7PTWV-3vsLK0oLkO9ia43l0I=w408-h544-k-no","11",,,"false","/g/11mlcdbkj2","en",,,"50.9158442","-113.8960425",,"Hotchkiss","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","+1 825-288-9202","+18252889202",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJZzxtQ0d5cVMRdHGCLs3Agfg",,"T3S 0J9",,"52",,,,,,,,,"2026-04-18T17:36:27.719Z",,,,,,"https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","335 Hotchkiss Mnr SE",,"false",,,"Fungai The Plumber",,,"https://www.google.com/maps/search/?api=1&query=Fungai%20The%20Plumber&query_place_id=ChIJZzxtQ0d5cVMRdHGCLs3Agfg",,,,,,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11979 40 St SE, Calgary, AB T2Z 4M3, Canada","Plumber",,,,,,,,,,"Plumber",,,"5188262920790232042","Calgary","true","CA","0",,"abetterwayplumbing.com","+AB+T2Z+3L4/@50.9194914",,,,,,"https://www.facebook.com/ABetterWayPlumbingandHeating",,"0x53719d6e177dbea7:0x480069a34b084bea",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sfQD3jtMdKEColv57L6n3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.86588&pitch=0&thumbfov=100","1","https://www.instagram.com/abetterwayplumbing",,"false","/g/11kt8cl8t4","en",,,"50.9430947","-113.9770499",,"East Shepard Industrial",,,,,,,,,,,,,,,"false","+1 403-667-5862","+14036675862","403-667-5862",,,,,,,,,,,"(403) 295-3028","113.963335","113.965523","50.919491","53717790","403-667-5862","116 11979","403.667.5862","403-474-6161",,,,,,"ChIJp759F26dcVMR6ksIS6NpAEg",,"T2Z 4M3",,"51",,,,,,,,,"2026-04-18T17:36:27.719Z","http://abetterwayplumbing.com/about-us/","https://abetterwayplumbing.com/contact-us/","https://abetterwayplumbing.com/about-us/warranty/","https://abetterwayplumbing.com/about-us/","https://abetterwayplumbing.com/about-us/reviews/","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","11979 40 St SE",,"false",,,"A Better Way Plumbing",,,"https://www.google.com/maps/search/?api=1&query=A%20Better%20Way%20Plumbing&query_place_id=ChIJp759F26dcVMR6ksIS6NpAEg","https://abetterwayplumbing.com/about-us/",,,,,
"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#102, 11051 50 St SE, Calgary, AB T2C 3E5, Canada","Plumber","Mechanical contractor",,,,,,,,,"Plumber",,,"11724960109755411265","Calgary","false","CA","0",,"hmplumb.ca","info@hmplumb.ca",,,,,,,,"0x53717a6ac5258923:0xa2b76d192b98ab41",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEId4mKMBDluhXq3_1camMJR020M6qub0opmZKfPeNGfFbKpbDmCehTgZ8tU71QuInHP9Ms4EIhcHth8Z2TdmeaaZX-0W_V9YCOmFnxFBBjAfGY8vqK4uvDGme2YAmd9lFgVVMq=w408-h544-k-no","10",,,"false","/g/1tczk4hb","en",,,"50.955342","-113.9619668",,"East Shepard Industrial","Monday","7 AM to 4 PM","Tuesday","7 AM to 4 PM","Wednesday","7 AM to 4 PM","Thursday","7 AM to 4 PM","Friday","7 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","+1 403-236-4474","+14032364474",,,,,,,,,,,,"403-236-4474","403.236.4474",,,,,,,,,,,,,"ChIJI4klxWp6cVMRQauYKxltt6I",,"T2C 3E5",,"54",,,"14","13","0","1","0","0","2026-04-18T17:36:27.719Z","https://www.hmplumb.ca/","https://www.hmplumb.ca/services-1","https://www.hmplumb.ca/services","https://www.hmplumb.ca/about","https://www.hmplumb.ca/contact","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","#102, 11051 50 St SE",,"false",,,"H & M Mechanical Ltd","4.7",,"https://www.google.com/maps/search/?api=1&query=H%20%26%20M%20Mechanical%20Ltd&query_place_id=ChIJI4klxWp6cVMRQauYKxltt6I","http://www.hmplumb.ca/",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10820 24 St SE, Calgary, AB T2Z 4C9, Canada","Plumber","Heating contractor","HVAC contractor","Mechanical contractor",,,,,,,"Plumber",,,"626411136874174278","Calgary","false","CA",,,,,,,,,,,,"0x5371774644c1e5e3:0x8b1759c30bbd746",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwJ324u3V_KHslcOiaEU4oMB9NzRPbKLz10Z_HeUNnn6lyEEeUffLiuiZ-FAuPlxK3D6UUuvlZxnUDmwH4CM89IdXkFlVEQdKirRRzUC8-gw5xcn0BOM4Vap5k5aNtCbCrGqKcOg=w408-h402-k-no","5",,,"false","/g/1td_y85w","en",,,"50.9557755","-113.9991263",,"Shepard Industrial","Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-283-5678","+14032835678",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJ4-XBREZ3cVMRRte7MJx1sQg",,"T2Z 4C9",,"44",,,"17","13","1","2","0","1","2026-04-18T17:36:27.718Z",,,,,,"https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","10820 24 St SE",,"false",,,"Viper Mechanical","4.3",,"https://www.google.com/maps/search/?api=1&query=Viper%20Mechanical&query_place_id=ChIJ4-XBREZ3cVMRRte7MJx1sQg",,,,,,
,,,,,,,,,,,,,,,"true",,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4516 112 Ave SE, Calgary, AB T2C 2K2, Canada","Plumber","Heating equipment supplier","Mechanical contractor",,,,,,,,"Plumber",,,"14424439007188326728","Calgary","false","CA","0",,"thplumbing.com",,,,,,,"https://www.facebook.com/t.hplumbingandheating",,"0x53717760f5813453:0xc82de6da63bf9948",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxkX1O1RzyrABZKsTSJ1JXvHYeDpBStSo-NwX1a39QF24C2Jxg3Ko_O0FibG-AGZW9NCqpuz4RNBXhZWRCtLxmehLRsxLGbvjRy2AoBUNSUQv6XphXXJzbWfRIuaE-JFgb9aU=w648-h240-k-no","4",,,"false","/g/1vgw89d3","en",,,"50.9522325","-113.9715124",,"East Shepard Industrial","Monday","8 AM to 4 PM","Tuesday","8 AM to 4 PM","Wednesday","8 AM to 4 PM","Thursday","8 AM to 4 PM","Friday","8 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","+1 403-720-0164","+14037200164",,,,,,,,,,,,"(403) 720 0164","4516 112","403 720 0164","403 279 0747",,,,,,,,,,,"ChIJUzSB9WB3cVMRSJm_Y9rmLcg",,"T2C 2K2",,"46",,,"4","4","0","0","0","0","2026-04-18T17:36:27.719Z","https://thplumbing.com/","https://thplumbing.com/about.php","https://thplumbing.com/services.php","https://thplumbing.com/#footer","https://thplumbing.com/gallery.php","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","4516 112 Ave SE",,"false",,,"T H Plumbing & Heating Ltd","5","https://twitter.com/thplumbing1","https://www.google.com/maps/search/?api=1&query=T%20H%20Plumbing%20%26%20Heating%20Ltd&query_place_id=ChIJUzSB9WB3cVMRSJm_Y9rmLcg","http://thplumbing.com/",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,"true",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268 Mt Aberdeen Close SE, Calgary, AB T2Z 3N3, Canada","Plumber","Gasfitter","Heating contractor",,,,,,,,"Plumber",,,"12103636585110504624","Calgary","false","CA","0",,"bluerockalberta.ca",,,,,,,,,"0x53717786b0e21827:0xa7f8c158a9ef04b0",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFch1ut1k7rBtxjKXYvSY-ddnc2qEiseBoVs-_KQXvVwa0VGwy0LDz1QwZyQmfcRaMBD3Ss4EmYdF5_X_WvyeZ8rf79347pMc-3CV9W9Dpc-e38LXwD3zY8DomhreMHv5CqBpax=w408-h306-k-no","95","instagram.com/bluerock_plumbing_ltd",,"false","/g/11jfp1m6xk","en",,,"50.9301111","-113.9767154",,"Southeast Calgary","Monday","7 AM to 5 PM","Tuesday","7 AM to 5 PM","Wednesday","7 AM to 5 PM","Thursday","7 AM to 5 PM","Friday","7 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-680-8739","+14036808739",,,,,,,,,,,,"403-680-8739","196629121",,,,,,,,,,,,,"ChIJJxjisIZ3cVMRsATvqVjB-Kc",,"T2Z 3N3",,"41",,,"9","9","0","0","0","0","2026-04-18T17:36:27.718Z","http://www.bluerockalberta.ca/","http://www.bluerockalberta.ca/#","http://www.bluerockalberta.ca/contact.html","http://www.bluerockalberta.ca/about.html","http://www.bluerockalberta.ca/","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","268 Mt Aberdeen Close SE",,"false",,,"Bluerock Plumbing & Heating","5",,"https://www.google.com/maps/search/?api=1&query=Bluerock%20Plumbing%20%26%20Heating&query_place_id=ChIJJxjisIZ3cVMRsATvqVjB-Kc","http://bluerockalberta.ca/",,,,,
,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"14188843885086606800",,"false",,"0",,"northernoasisplumbing.ca",,,,,,,,,"0xa7a23a4cdca4b3e1:0xc4e8e656780f85d0",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYhobGhtmoLFqypw89wzf-qrefyKboNSUg8FAd79XMzA-4Be2t4Z682anskdm2N445cDWvRO-OrvbMfbUpbIw1iRhcRFDc1DI_gJv_--6aTkWdA3DC7W4k89wzb5b0LR5JyWHr9f5TLNkh=w408-h306-k-no","22",,,"false","/g/11z0hjbzkh","en",,,"50.8994864","-114.0527286",,,"Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 587-777-5588","+15877775588","(587) 777-5588",,,,,,,,,,,"(587) 777-5588",,,,,,,,,,,,,,"ChIJ4bOk3Ew6oqcR0IUPeFbm6MQ",,,,"40",,,,,,,,,"2026-04-18T17:36:27.386Z","https://www.northernoasisplumbing.ca/","https://www.northernoasisplumbing.ca/","https://www.northernoasisplumbing.ca/services/tankless-water-heater-service-and-repair","https://www.northernoasisplumbing.ca/services/plumbing-installations-and-repairs","https://www.northernoasisplumbing.ca/services/boiler-repairs-and-installation","https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"Northern Oasis Plumbing & Heating Ltd.",,,"https://www.google.com/maps/search/?api=1&query=Northern%20Oasis%20Plumbing%20%26%20Heating%20Ltd.&query_place_id=ChIJ4bOk3Ew6oqcR0IUPeFbm6MQ","https://www.northernoasisplumbing.ca/",,,,,
,,,,,,,,,,,,,,,"true",,,"true",,"true",,,,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumber","Service establishment",,,,,,,,,"Plumber",,,"10382787494732372041",,"false",,"0",,"flowriseplumbing.ca","support@flowriseplumbing.ca",,,,,,,,"0x69ea9fda2151d08b:0x9017123751e41849",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzuONQ7S00ZOeuxbUIRulQr4wrvO7eNErhKANldeV8M5E7jTY63NR20hKB5n0efglwJULsTCC85eYYhd82IPVL0UxaLHN4ccADCv83zubTk95jf1BLrHjNoAvXoZM2siIQZVQk8Vx1FQKx=w408-h538-k-no","23",,,"false","/g/11z0mdp7hb","en",,,"50.8994864","-114.0527286",,,"Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-874-3931","+14038743931",,,,,,,,,,,,,,,,,,,,,,,,,,"ChIJi9BRIdqf6mkRSRjkUTcSF5A",,,,"39",,,"8","8","0","0","0","0","2026-04-18T17:36:27.386Z","https://www.flowriseplumbing.ca/","https://www.flowriseplumbing.ca/services/index.html","https://www.flowriseplumbing.ca/blog/index.html","https://www.flowriseplumbing.ca/about.html","https://www.flowriseplumbing.ca/contact.html","https://www.google.com/maps/search/plumber/@50.855265977028644,-113.88334802444844,13z?hl=en","plumber",,,,"false",,,"Flowrise Plumbing & Heating","5",,"https://www.google.com/maps/search/?api=1&query=Flowrise%20Plumbing%20%26%20Heating&query_place_id=ChIJi9BRIdqf6mkRSRjkUTcSF5A","https://flowriseplumbing.ca/",,,,,
,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11410 27 St SE #10, Calgary, AB T2Z 3R6, Canada","Mechanical contractor",,,,,,,,,,"Mechanical contractor",,,"8922589122835564288","Calgary","false","CA","0",,"dandt-plumbing.ca","infodandtplumbing@gmail.com",,,,,,,,"0x53717778c8bebd89:0x7bd367888760c700",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5IVP_FWff-lIL5yU2gTNoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=63.3044&pitch=0&thumbfov=100","2","https://www.instagram.com/dandt_plumbing",,"false","/g/11h7s41r1k","en",,,"50.9536484","-113.9944109",,"Shepard Industrial","Monday","8 AM to 4:30 PM","Tuesday","8 AM to 4:30 PM","Wednesday","8 AM to 4:30 PM","Thursday","8 AM to 4:30 PM","Friday","8 AM to 4:30 PM","Saturday","Closed","Sunday","Closed","false","+1 403-203-2807","+14032032807",,,,,,,,,,,,"403-203-2807",,,,,,,,,,,,,,"ChIJib2-yHh3cVMRAMdgh4hn03s",,"T2Z 3R6",,"42",,,"8","3","0","5","0","0","2026-04-18T17:36:27.718Z","https://dandt-plumbing.ca/","https://dandt-plumbing.ca/","https://dandt-plumbing.ca/contact-us/","https://dandt-plumbing.ca/services/","https://dandt-plumbing.ca/about-us/","https://www.google.com/maps/search/plumber/@50.94138981351432,-113.88334802444844,13z?hl=en","plumber","Alberta","11410 27 St SE #10",,"false",,,"D & T Plumbing","2.5",,"https://www.google.com/maps/search/?api=1&query=D%20%26%20T%20Plumbing&query_place_id=ChIJib2-yHh3cVMRAMdgh4hn03s","http://dandt-plumbing.ca/",,,,,
