"additionalInfo/Accessibility/0/Wheelchair accessible entrance","additionalInfo/Accessibility/0/Wheelchair accessible parking lot","additionalInfo/Accessibility/0/Wheelchair accessible restroom","additionalInfo/Accessibility/0/Wheelchair accessible seating","additionalInfo/Accessibility/1/Wheelchair accessible entrance","additionalInfo/Accessibility/1/Wheelchair accessible parking lot","additionalInfo/Accessibility/1/Wheelchair accessible restroom","additionalInfo/Accessibility/1/Wheelchair accessible seating","additionalInfo/Accessibility/2/Wheelchair accessible entrance","additionalInfo/Accessibility/2/Wheelchair accessible parking lot","additionalInfo/Accessibility/2/Wheelchair accessible restroom","additionalInfo/Accessibility/2/Wheelchair accessible seating","additionalInfo/Crowd/0/LGBTQ+ friendly","additionalInfo/Crowd/0/Transgender safespace","additionalInfo/Crowd/1/LGBTQ+ friendly","additionalInfo/Crowd/1/Transgender safespace","additionalInfo/From the business/0/Identifies as women-owned","additionalInfo/Offerings/0/Installation service","additionalInfo/Offerings/0/Repair services","additionalInfo/Offerings/1/Installation service","additionalInfo/Offerings/1/Repair services","additionalInfo/Planning/0/Appointment required","additionalInfo/Service options/0/English","additionalInfo/Service options/0/Online estimates","additionalInfo/Service options/0/Onsite services","additionalInfo/Service options/1/English","additionalInfo/Service options/1/Online estimates","additionalInfo/Service options/1/Onsite services","additionalInfo/Service options/2/English","additionalInfo/Service options/2/Online estimates","additionalInfo/Service options/2/Onsite services","additionalOpeningHours/Online service hours/0/day","additionalOpeningHours/Online service hours/0/hours","additionalOpeningHours/Online service hours/1/day","additionalOpeningHours/Online service hours/1/hours","additionalOpeningHours/Online service hours/2/day","additionalOpeningHours/Online service hours/2/hours","additionalOpeningHours/Online service hours/3/day","additionalOpeningHours/Online service hours/3/hours","additionalOpeningHours/Online service hours/4/day","additionalOpeningHours/Online service hours/4/hours","additionalOpeningHours/Online service hours/5/day","additionalOpeningHours/Online service hours/5/hours","additionalOpeningHours/Online service hours/6/day","additionalOpeningHours/Online service hours/6/hours","address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categoryName","checkInDate","checkOutDate","cid","city","claimThisBusiness","countryCode","depth","description","domain","emails/0","emails/1","emails/2","facebooks/0","facebooks/1","fid","floor","googleFoodUrl","hotelStars","imageUrl","imagesCount","instagrams/0","instagrams/1","isAdvertisement","kgmid","language","linkedIns/0","linkedIns/1","locatedIn","location/lat","location/lng","menu","neighborhood","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","permanentlyClosed","phone","phoneUnformatted","phones/0","phones/1","phones/2","phones/3","phones/4","phonesUncertain/0","phonesUncertain/1","phonesUncertain/2","phonesUncertain/3","phonesUncertain/4","phonesUncertain/5","phonesUncertain/6","phonesUncertain/7","phonesUncertain/8","phonesUncertain/9","phonesUncertain/10","phonesUncertain/11","phonesUncertain/12","placeId","plusCode","postalCode","price","rank","reserveTableUrl","reviews","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","scrapedAt","scrapedUrls/0","scrapedUrls/1","scrapedUrls/2","scrapedUrls/3","scrapedUrls/4","searchPageUrl","searchString","state","street","subTitle","temporarilyClosed","tiktoks/0","tiktoks/1","title","totalScore","twitters/0","url","website","whatsapps/0","youtubes/0","youtubes/1","youtubes/2","youtubes/3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12722 Douglasview Blvd SE, Calgary, AB T2Z 2H9, Canada","Electrical installation service",,,,,,,,,,"Electrical installation service",,,"7687355620962048626","Calgary","false","CA","0",,"forbeselectricalservices.ca",,,,,,"0x537177824d3b13a3:0x6aaef935398b9a72",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEqFhKKlacjODUReAi13PdgoFJ4HYSbkMEwvqG6Sb73ayH3eibdGIAWxHoFpm8Rk5ooowFtA4Hn9yPOHY8_PerPhHw8ktaZxTNckQRgIne9hDlVYvFDLNSSCGDicvpf6GtooMAG=w426-h240-k-no","10","https://www.instagram.com/forbeselectricalhomeservices","www.instagram.com/forbeselectricalhomeservices","false","/g/11h1kqzv50","en",,,,"50.9396725","-113.9910593",,"Douglasdale","Monday","8 AM to 4 PM","Tuesday","8 AM to 4 PM","Wednesday","8 AM to 4 PM","Thursday","8 AM to 4 PM","Friday","8 AM to 4 PM","Saturday","8 AM to 4 PM","Sunday","Closed","false","","",,,,,,,,,,,,,,,,,,,"ChIJoxM7TYJ3cVMRcpqLOTX5rmo",,"T2Z 2H9",,"44",,,,,,,,,"2026-04-18T17:37:39.162Z","https://forbeselectricalservices.ca/","https://forbeselectricalservices.ca/home","https://forbeselectricalservices.ca/contact","https://forbeselectricalservices.ca/electrical-services","https://forbeselectricalservices.ca/testimonials","https://www.google.com/maps/search/electrician/@50.94138981351432,-113.88334802444844,13z?hl=en","electrician","Alberta","12722 Douglasview Blvd SE",,"false",,,"Forbes Electrical Services",,,"https://www.google.com/maps/search/?api=1&query=Forbes%20Electrical%20Services&query_place_id=ChIJoxM7TYJ3cVMRcpqLOTX5rmo","http://forbeselectricalservices.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrical installation service","Service establishment",,,,,,,,,"Electrical installation service",,,"7789014663781854406",,"false",,"0",,"advancedinfrared.ca","info@advancedinfrared.ca",,,,,"0x8280f2ef2073b445:0x6c1823919906acc6",,,,,"0",,,"false","/g/11vdwrk084","en",,,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-710-4962","+14037104962","403-710-4962",,,,,"403-710-4962","403.710.4962","82261510","72659174","61495427","683351088888","678534629","7836755429","88015718756749",,,,,"ChIJRbRzIO_ygIIRxqwGmZEjGGw",,,,"52",,,,,,,,,"2026-04-18T17:37:38.396Z","https://www.advancedinfrared.ca/","https://www.advancedinfrared.ca/infrared-inspections","https://www.advancedinfrared.ca/about","https://www.advancedinfrared.ca/service-work","https://www.advancedinfrared.ca/contact","https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"Advanced Infrared & Electrical Ltd.",,,"https://www.google.com/maps/search/?api=1&query=Advanced%20Infrared%20%26%20Electrical%20Ltd.&query_place_id=ChIJRbRzIO_ygIIRxqwGmZEjGGw","https://www.advancedinfrared.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5098 80 Ave S E, Calgary, AB T2C 2X3, Canada","Electrician",,,,,,,,,,"Electrician",,,"14453709988929011816","Calgary","true","CA","0",,"corbiellelectrical.com",,,,,,"0x53717a1f06bde455:0xc895e4a7e8a10068",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG3ZUxs96BWV9zLQFnnLmw4EHb5b6SUmkPhLWAq_FnEdyHW4qMQhli8b0SKHGx7S-VhWH9AHTa22SDqSjFbFZXdkAaFk5ZWF1svlFjgkvUq2EOnMkd_ss6UJqd1dd7ax7A3BuvL=w408-h544-k-no","1",,,"false","/g/11h1y8slvq","en",,,,"50.9807739","-113.96194",,"Southeast Calgary",,,,,,,,,,,,,,,"false","+1 403-818-7374","+14038187374","4038187374","(403) 818-7374",,,,"(403) 818-7374",,,,,,,,,,,,,"ChIJVeS9Bh96cVMRaACh6Kfklcg",,"T2C 2X3",,"43",,,"11","7","0","4","0","0","2026-04-18T17:37:39.162Z","https://www.corbiellelectrical.com/","https://www.corbiellelectrical.com/contact/","https://www.corbiellelectrical.com/about-us/","https://www.corbiellelectrical.com/","https://www.corbiellelectrical.com/contact/","https://www.google.com/maps/search/electrician/@50.94138981351432,-113.88334802444844,13z?hl=en","electrician","Alberta","5098 80 Ave S E",,"false",,,"Corbiell Electrical","3.5",,"https://www.google.com/maps/search/?api=1&query=Corbiell%20Electrical&query_place_id=ChIJVeS9Bh96cVMRaACh6Kfklcg","http://corbiellelectrical.com/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrician","Service establishment",,,,,,,,,"Electrician",,,"16144637780911655079",,"false",,"0",,"networkelectricltd.ca","ty@networkelectricltd.ca",,,"https://www.facebook.com/networkelectricltd",,"0x53719c3b89315fa9:0xe00d4686169708a7",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAEG6mmCn2x3oJGBJUqR06SgSVB68pqGZmTG7L-bKoEA05Wi8aYJSI_jy2OrES3GGXjHBfD0G2Qbf2Zoy7aR4ydTQSDyvedcgdVXb_NKx29FUDQhQmvFz6XZqny359GfD4Bevu8=w408-h408-k-no","2",,,"false","/g/11cjhq28q5","en",,,,"50.8994864","-114.0527286",,,"Monday","8 AM to 5 PM","Tuesday","8 AM to 5 PM","Wednesday","8 AM to 5 PM","Thursday","8 AM to 5 PM","Friday","8 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","+1 403-651-6630","+14036516630","+14039385684","4038623370",,,,"403-862-3370","403.938.5684","(403) 862-3370",,,,,,,,,,,"ChIJqV8xiTuccVMRpwiXFoZGDeA",,,,"50",,,,,,,,,"2026-04-18T17:37:38.396Z","https://networkelectricltd.ca/","https://networkelectricltd.ca/","https://networkelectricltd.ca/services","https://networkelectricltd.ca/our-company","https://networkelectricltd.ca/contact","https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"Network Electric Ltd.",,,"https://www.google.com/maps/search/?api=1&query=Network%20Electric%20Ltd.&query_place_id=ChIJqV8xiTuccVMRpwiXFoZGDeA","http://www.networkelectricltd.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,"Electrical installation service","Service establishment",,,,,,,,,"Electrical installation service",,,"6447110433232070448",,"false",,,,,,,,,,"0x684d86b5786738c1:0x5978bcc7e0832730",,,,,"0",,,"false","/g/11sx1ygdzr","en",,,,"50.9433782","-114.0440112",,,"Monday","7 AM to 5 PM","Tuesday","7 AM to 5 PM","Wednesday","7 AM to 5 PM","Thursday","7 AM to 5 PM","Friday","7 AM to 5 PM","Saturday","7 AM to 5 PM","Sunday","7 AM to 5 PM","false","+1 403-681-3556","+14036813556",,,,,,,,,,,,,,,,,,,"ChIJwThneLWGTWgRMCeD4Me8eFk",,,,"46",,,,,,,,,"2026-04-18T17:37:38.396Z",,,,,,"https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"DWC Electrical Services",,,"https://www.google.com/maps/search/?api=1&query=DWC%20Electrical%20Services&query_place_id=ChIJwThneLWGTWgRMCeD4Me8eFk",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrician","Service establishment",,,,,,,,,"Electrician",,,"26217420708305278",,"false",,"0",,"limelightelectrical.com","tyler@limelightelectrical.com",,,"https://www.facebook.com/Limelight-Electrical-Solutions-101496844965688",,"0x537177ff713b75a5:0x5d249af03ed97e",,,,,"0","https://www.instagram.com/limelightelectrical",,"false","/g/11r3x42c9f","en",,,,"51.0276233","-114.087835",,,"Monday","8 AM to 6 PM","Tuesday","8 AM to 6 PM","Wednesday","8 AM to 6 PM","Thursday","8 AM to 6 PM","Friday","8 AM to 6 PM","Saturday","Closed","Sunday","Closed","false","+1 403-471-3117","+14034713117",,,,,,"403-471-3117",,,,,,,,,,,,,"ChIJpXU7cf93cVMRftk-8JokXQA",,,,"44",,,"7","7","0","0","0","0","2026-04-18T17:37:38.395Z","https://www.limelightelectrical.com/","https://www.limelightelectrical.com/",,,,"https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"Limelight Electrical Solutions","5",,"https://www.google.com/maps/search/?api=1&query=Limelight%20Electrical%20Solutions&query_place_id=ChIJpXU7cf93cVMRftk-8JokXQA","http://limelightelectrical.com/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrician","Service establishment",,,,,,,,,"Electrician",,,"15758390320248001134",,"false",,,,,,,,,,"0x6b086ebce797a86f:0xdab10c813656126e",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAElEXRO8FA_x8m4oki39-6FZcyFtoPvCaLFnKmSFA7UJmTlC3ahqX8ZcBy3jsi57tPDjLnMkvmfYODTxrcNJw4q3lAjkO4CE1-J--6gPw163kx5A5X_Vjjh-v4fLm0w-24R4BiWMQ=w408-h408-k-no","2",,,"false","/g/11v5ty2zq0","en",,,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-671-4124","+14036714124",,,,,,,,,,,,,,,,,,,"ChIJb6iX57xuCGsRbhJWNoEMsdo",,,,"43",,,"6","5","0","1","0","0","2026-04-18T17:37:38.395Z",,,,,,"https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"A2 Electrical","4.3",,"https://www.google.com/maps/search/?api=1&query=A2%20Electrical&query_place_id=ChIJb6iX57xuCGsRbhJWNoEMsdo",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrician","Contractor","Service establishment",,,,,,,,"Electrician",,,"5994291139585186278",,"false",,"0",,"buikselectric.ca",,,,,,"0x4391732fd89a5f4f:0x53300008473f19e6",,,,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZmkcWY8nwAXir4YJjBe1XxEK55KUKcLS3dTjLQfMTT8qC60ihfisPSobtz6E40J4lahs1pY4a8mO3ijyQxtNiLLXM68Rjk_Zx0hvlQjdTsB2hAICuUwN0sJJNw0p4vgKargcd=w408-h510-k-no","4",,,"false","/g/11t_lh4jqf","en",,,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-200-6879","+14032006879",,,,,,,,,,,,,,,,,,,"ChIJT1-a2C9zkUMR5hk_RwgAMFM",,,,"41",,,"4","4","0","0","0","0","2026-04-18T17:37:38.395Z","http://buikselectric.ca/",,,,,"https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"Buiks Electric","5",,"https://www.google.com/maps/search/?api=1&query=Buiks%20Electric&query_place_id=ChIJT1-a2C9zkUMR5hk_RwgAMFM","http://buikselectric.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrician","Service establishment",,,,,,,,,"Electrician",,,"11835658602163798431",,"false",,"0",,"ironhorseelectric.ca","info@ironhorseelectric.ca","ryan.mcmullen@ironhorseelectric.ca",,,,"0x53719d7d507d5367:0xa440b4ca68c5019f",,,,,"0",,,"false","/g/11m_hdnqyd","en",,,,"51.0276233","-114.087835",,,,,,,,,,,,,,,,,"false","+1 403-978-4766","+14039784766",,,,,,"403-978-4766",,,,,,,,,,,,,"ChIJZ1N9UH2dcVMRnwHFaMq0QKQ",,,,"47",,,,,,,,,"2026-04-18T17:37:38.396Z","https://ironhorseelectric.ca/","https://ironhorseelectric.ca/contact-us/","https://ironhorseelectric.ca/","https://ironhorseelectric.ca/our-services-2/","https://ironhorseelectric.ca/attribution/","https://www.google.com/maps/search/electrician/@50.855265977028644,-113.88334802444844,13z?hl=en","electrician",,,,"false",,,"Ironhorse Electric Ltd.",,,"https://www.google.com/maps/search/?api=1&query=Ironhorse%20Electric%20Ltd.&query_place_id=ChIJZ1N9UH2dcVMRnwHFaMq0QKQ","http://ironhorseelectric.ca/",,,,,
,,,,,,,,,,,,,,,,,,,,,,,"true",,,,"true","true",,,,,,,,,,,,,,,,,"10805 50 St SE, Calgary, AB T2C 3E5, Canada","Electrician",,,,,,,,,,"Electrician",,,"17442955830521023997","Calgary","false","CA","0",,"crestviewgroup.com",,,,"https://www.facebook.com/Crestview-Group-Ltd-146421385899325",,"0x417185c673ad41dd:0xf211d3e93f08cdfd",,,,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_PBongxXQMsoKmN-05GNQQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.5447&pitch=0&thumbfov=100","2","https://www.instagram.com/crestviewgroup",,"false","/g/12hpvtct5","en","https://www.linkedin.com/company/crestview-group-ltd",,,"50.9568983","-113.9619754",,"East Shepard Industrial","Monday","7 AM to 4 PM","Tuesday","7 AM to 4 PM","Wednesday","7 AM to 4 PM","Thursday","7 AM to 4 PM","Friday","7 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","+1 403-279-6661","+14032796661","4032796661",,,,,"403.279.6661","403.279.6604",,,,,,,,,,,,"ChIJ3UGtc8aFcUER_c0IP-nTEfI",,"T2C 3E5",,"40",,,"16","16","0","0","0","0","2026-04-18T17:37:38.298Z","https://crestviewgroup.com/","https://crestviewgroup.com/#","https://crestviewgroup.com/",,,"https://www.google.com/maps/search/electrician/@50.94138981351432,-113.88334802444844,13z?hl=en","electrician","Alberta","10805 50 St SE",,"false",,,"Crestview Electric Ltd","5","https://twitter.com/crestviewcve","https://www.google.com/maps/search/?api=1&query=Crestview%20Electric%20Ltd&query_place_id=ChIJ3UGtc8aFcUER_c0IP-nTEfI","http://www.crestviewgroup.com/",,,,,
